#Time(s) Throughput(Mbps)
1.5 1.25184
1.6 2.9952
1.7 3.3408
1.8 3.2256
1.9 2.9952
2 3.5712
2.1 2.9952
2.2 3.456
2.3 3.3408
2.4 2.9952
2.5 3.5712
2.6 2.9952
2.7 2.9952
2.8 3.5712
2.9 2.9952
3 3.456
3.1 3.3408
3.2 3.1104
3.3 3.456
3.4 2.9952
3.5 2.9952
3.6 3.5712
3.7 3.3408
3.8 2.9952
3.9 3.5712
4 2.9952
4.1 3.456
4.2 3.3408
4.3 2.9952
4.4 3.5712
4.5 2.9952
4.6 2.9952
4.7 3.5712
4.8 2.9952
4.9 3.456
5 3.3408
5.1 2.9952
5.2 3.5712
5.3 2.9952
5.4 2.9952
5.5 3.5712
5.6 2.9952
5.7 3.456
5.8 3.3408
5.9 3.1104
6 3.456
6.1 2.9952
6.2 3.2256
6.3 3.3408
6.4 3.456
6.5 3.2256
6.6 3.2256
6.7 2.9952
6.8 3.456
6.9 3.456
7 2.9952
7.1 3.1104
7.2 3.456
7.3 3.3408
7.4 3.3408
7.5 2.7648
7.6 3.456
7.7 3.456
7.8 2.9952
7.9 3.1104
8 3.456
8.1 3.3408
8.2 3.3408
8.3 3.2256
8.4 2.9952
8.5 3.456
8.6 2.9952
8.7 3.5712
8.8 3.3408
8.9 2.9952
9 3.3408
9.1 3.6864
9.2 3.456
9.3 2.9952
9.4 3.1104
9.5 3.456
9.6 3.3408
9.7 3.3408
9.8 2.7648
9.9 3.456
