#Time RTT(s)
3.60136 0.0194279
3.60737 0.0231244
3.62545 0.0286088
3.63147 0.0257827
3.6375 0.0240599
3.64353 0.0218024
3.64955 0.0198271
3.66845 0.0204737
3.67447 0.0217895
3.68049 0.0198158
3.68652 0.0180888
3.69255 0.0165777
3.69857 0.0152555
3.72267 0.0170986
3.72349 0.0188363
3.72952 0.0172317
3.73554 0.0158278
3.74157 0.0145993
3.74759 0.0135244
3.75362 0.0125838
3.75965 0.0117608
3.76567 0.0110407
3.7717 0.0104106
3.77772 0.00985932
3.78375 0.0093769
3.80262 0.0113298
3.80865 0.0137886
3.80867 0.01594
3.81467 0.0185725
3.82071 0.0216259
3.82674 0.0196727
3.83276 0.0187136
3.83879 0.0171244
3.84562 0.0166089
3.85084 0.0167827
3.85687 0.0176849
3.88178 0.0215993
3.8878 0.0257744
3.89383 0.0233026
3.89986 0.0218898
3.90588 0.0214035
3.91191 0.0194781
3.91793 0.0177933
3.91794 0.0163192
3.92999 0.0150293
3.93 0.0139006
3.93602 0.013038
3.94205 0.0121583
3.94808 0.0113885
3.99708 0.0168399
4.0031 0.0154849
4.00914 0.0150493
4.00993 0.0146682
4.01517 0.0150846
4.02119 0.0161991
4.02201 0.0172992
4.02801 0.0190118
4.03404 0.0212603
4.04006 0.0239778
4.04009 0.0263555
4.04609 0.0291861
4.05212 0.0262878
4.05815 0.0237519
4.06418 0.0215329
4.0702 0.0195913
4.07623 0.0178924
4.08908 0.0180308
4.09431 0.018777
4.0951 0.0195548
4.10113 0.0178605
4.10716 0.0163779
4.11318 0.0150807
4.11921 0.0139456
4.1373 0.0152024
4.14332 0.0140521
4.14935 0.0130456
4.15537 0.0121649
4.1614 0.0113943
4.1622 0.010845
4.16822 0.0102394
4.19233 0.0127094
4.20439 0.0163708
4.21041 0.0203244
4.21644 0.0185339
4.22247 0.0177171
4.22849 0.0177525
4.22929 0.0179084
4.23531 0.0187949
4.24134 0.0203205
4.24736 0.0185304
4.25339 0.0169641
4.25942 0.0155936
4.28956 0.0181444
4.29558 0.0166264
4.29638 0.0154231
4.2964 0.0143702
4.3024 0.0141989
4.30243 0.014049
4.30764 0.0136679
4.30843 0.0128344
4.31446 0.0119801
4.32049 0.0112326
4.32651 0.0105785
4.36349 0.0146312
4.36352 0.0181773
4.36949 0.0220301
4.36952 0.0254014
4.37473 0.0289762
4.38154 0.0261042
4.38757 0.0235912
4.40648 0.0237673
4.41248 0.0246714
4.41771 0.0260874
4.42374 0.0235765
4.42976 0.0213794
4.43579 0.019457
4.44182 0.0177749
4.44784 0.016303
4.45387 0.0150151
4.45989 0.0138883
4.46592 0.0129022
4.47195 0.0120394
4.47797 0.0112845
4.484 0.0106239
4.49002 0.010171
4.49605 0.00964958
4.50208 0.00919339
4.52096 0.0110442
4.52256 0.0129137
4.52858 0.0120495
4.53461 0.0112933
4.54506 0.0120066
4.55109 0.0133808
4.55189 0.0145832
4.57759 0.0188853
4.58362 0.0233996
4.60613 0.0302247
4.61215 0.0271966
4.61818 0.025297
4.61898 0.0236349
4.63023 0.0236805
4.63626 0.0214705
4.67322 0.0241617
4.67924 0.0218914
4.68527 0.020655
4.69129 0.0188231
4.69732 0.0179702
4.69813 0.017349
4.70336 0.0174303
4.71177 0.0185016
4.72143 0.0206889
4.72745 0.0188527
4.73348 0.0172462
4.7395 0.0158404
4.76441 0.0177353
4.77044 0.0162684
4.77646 0.0149849
4.78249 0.0138618
4.78851 0.012879
4.8066 0.0142692
4.8074 0.0156105
4.81342 0.0175342
4.81945 0.0199674
4.82547 0.0182215
4.83753 0.0181938
4.84355 0.0166696
4.84958 0.0153359
4.85561 0.0141689
4.86164 0.0131478
4.86766 0.0122543
4.87972 0.0114725
4.88574 0.0107885
4.89177 0.0101899
4.8978 0.00966616
4.94681 0.0153329
4.95284 0.0141663
4.95886 0.0131455
4.96489 0.0130023
4.96568 0.013002
4.97171 0.0137518
4.97694 0.0150328
4.97774 0.0162787
4.98376 0.0181189
4.98979 0.020479
4.99581 0.0186691
5.00105 0.0178355
5.00185 0.017106
5.00787 0.0172178
5.0079 0.0173156
5.02072 0.0190261
5.02675 0.0212729
5.03198 0.0238637
5.038 0.0217558
5.0388 0.0199113
5.04482 0.0190474
5.05085 0.0174165
5.05687 0.0159894
5.0629 0.0147407
5.06893 0.0136481
5.06896 0.0126921
5.07497 0.0126056
5.08099 0.0117799
5.08702 0.0111824
5.09305 0.0105346
5.12397 0.0137178
5.12399 0.0165031
5.12999 0.0196902
5.13002 0.0226039
5.13004 0.0251534
5.13605 0.0281342
5.14205 0.0314925
5.14807 0.0283059
5.1541 0.0255177
5.16012 0.023078
5.16615 0.0209432
5.17218 0.0190753
5.19712 0.0205659
5.20314 0.0187452
5.21517 0.017152
5.22119 0.015758
5.22722 0.0145383
5.23324 0.013471
5.23927 0.0125371
5.2453 0.01172
5.25132 0.011005
5.25735 0.0103793
5.26337 0.00983193
5.2694 0.00935294
5.27543 0.00893382
5.28145 0.00856709
5.28748 0.0082462
5.2935 0.00796543
5.29953 0.00771975
5.32524 0.0107548
5.33127 0.0101604
5.33729 0.0103904
5.34332 0.00984158
5.34935 0.00936138
5.35537 0.00894121
5.3614 0.00857356
5.36742 0.00825186
5.37345 0.00797038
5.39755 0.0107241
5.40358 0.0101336
5.40961 0.00961687
5.41563 0.00916476
5.42166 0.00876917
5.43452 0.010048
5.43536 0.011292
5.44135 0.0131305
5.44657 0.0153642
5.45179 0.0179437
5.45781 0.0164507
5.46465 0.0151444
5.47067 0.0140013
5.4767 0.0130012
5.48273 0.012126
5.48875 0.0113603
5.49478 0.0106902
5.50241 0.010104
5.50844 0.00959096
5.52491 0.0111421
5.52571 0.0126243
5.53173 0.0146713
5.53776 0.0135874
5.54379 0.012639
5.54982 0.0118091
5.55584 0.0110829
5.56187 0.0104476
5.5679 0.00989163
5.57392 0.00940518
5.57995 0.00897953
5.58597 0.00860709
5.592 0.0084062
5.59803 0.00810542
5.60405 0.00784225
5.61008 0.00761197
5.6161 0.00741047
5.65909 0.0126092
5.66594 0.011783
5.67196 0.0110601
5.67799 0.0104276
5.68402 0.00999917
5.69004 0.00949927
5.69607 0.00906186
5.70208 0.00942913
5.7081 0.0105005
5.71413 0.00993793
5.72016 0.00944569
5.73301 0.01064
5.73823 0.01231
5.73906 0.0138962
5.74508 0.0160342
5.75189 0.0186549
5.75792 0.0170731
5.76919 0.0171889
5.77522 0.0157903
5.7941 0.0169415
5.80012 0.0155738
5.80615 0.0143771
5.81218 0.01333
5.8182 0.0124137
5.82421 0.012362
5.86116 0.0169418
5.86719 0.015574
5.86799 0.0143773
5.87402 0.0134551
5.89733 0.0155232
5.91542 0.0195828
5.92145 0.017885
5.92748 0.0163993
