#Time(s) Throughput(Mbps)
1.5 9.59232
1.6 32.7168
1.7 31.7952
1.8 32.256
1.9 31.7952
2 32.256
2.1 32.256
2.2 22.8096
2.3 23.9616
2.4 23.9616
2.5 24.4224
2.6 24.4224
2.7 23.9616
2.8 23.9616
2.9 24.4224
3 23.9616
3.1 24.4224
3.2 23.9616
3.3 23.9616
3.4 24.4224
3.5 23.9616
3.6 24.4224
3.7 23.9616
3.8 21.1968
3.9 17.0496
4 17.9712
4.1 18.432
4.2 18.432
4.3 18.8928
4.4 20.2752
4.5 21.6576
4.6 22.1184
4.7 22.1184
4.8 23.5008
4.9 24.4224
5 23.9616
5.1 24.4224
5.2 23.9616
5.3 24.4224
5.4 23.9616
5.5 23.9616
5.6 24.4224
5.7 23.9616
5.8 21.6576
5.9 22.1184
6 22.1184
6.1 22.1184
6.2 22.1184
6.3 22.1184
6.4 22.1184
6.5 22.1184
6.6 21.6576
6.7 22.1184
6.8 23.04
6.9 23.9616
7 23.9616
7.1 24.4224
7.2 23.9616
7.3 24.4224
7.4 23.9616
7.5 23.9616
7.6 24.4224
7.7 23.9616
7.8 23.9616
7.9 22.5792
8 22.1184
8.1 22.1184
8.2 22.1184
8.3 22.1184
8.4 22.1184
8.5 22.1184
8.6 22.1184
8.7 22.1184
8.8 21.6576
8.9 22.1184
9 23.9616
9.1 24.4224
9.2 23.9616
9.3 23.9616
9.4 24.4224
9.5 23.9616
9.6 24.4224
9.7 23.9616
9.8 23.9616
9.9 24.4224
